Restaurant Name,Category,Rating,Cost for two,Area,Locality,Address,Veg,Long Distance Delivery
Biryani By Kilo,"Biryani,Mughlai,Kebabs,Hyderabadi,North Indian,Lucknowi,Desserts,Beverages",4.1,600,Khare Town,Dharampeth,"Commercial First Floor, F1 & F2 INDU YASH II, 186, Dharampeth Extn, Ramnagar Square, Nagpur",False,0
Haldirams Sweets & Namkeen,"Sweets,Bakery,Beverages",4.6,300,Sitabuldi,SITABULDI,"ABHYANKAR ROAD, SITABULDI,NAGPUR",False,0
Pind Punjabi,"North Indian,Chinese",3.3,200,Loha Pul,"Loha Pul, Pind","Shree Ganesh Bhojnalay, Manas Chowk, Sahu Colony, Sitabuldi, Nagpur, Maharashtra",True,0
Behrouz Biryani,"Biryani,Mughlai,Lucknowi,Hyderabadi,Kebabs,North Indian,Persian,Desserts",3.9,500,Sadar,"Azad Chowk, Near Gandhi Chowk","Faasos, Plot No. 227 1, Azad Chowk, Near Gandhi Chowk, Opp Kachara Ghar, Sadar, Nagpur, 440001",False,0
Jay Ambika Bhojnalay,"North Indian,Indian",4.0,300,Ganeshpeth Colony,Gandhibagh,Shop no13 opp. Rahul hotel Ganeshpeth bus stand,True,0
Foody Moody Thali,"Indian,Thalis,Chinese,Biryani,North Indian,Punjabi,Desserts",3.4,200,Loha Pul,"Loha Pul, Foody","Shree Ganesh Bhojnalay, Manas Chowk, Sahu Colony, Sitabuldi, Nagpur, Maharashtra",False,0
Subway,"Healthy Food,Salads,Snacks,Desserts,Beverages",4.1,350,Khare Town,Dharampeth,"G2, Indu Yash Complex, Cement Road, Ramnagar, Near, Dharampeth, Nagpur",False,0
KFC,"American,Snacks,Biryani",3.9,400,Sitabuldi,"Ground Floor, Eternity Mall, Variety Square","G1, G2, Ground Floor, Eternity Mall, Variety Square, Sitaburdi, Nagpur, Maharashtra 440010",False,0
McDonald's,"Burgers,Beverages,Cafe,Desserts",4.1,400,Medical Square,Trillum Mall,"Restaurant no 3, 3rd Floor, Trillum mall, Ram Bag Layout, Untkhana Road, Nagpur, 440003",False,0
Babbu Hotel,"Biryani,Mughlai,North Indian,Beverages",3.7,300,Mominpura,Gandhibagh,"Near Bakra Mandi, Mominpura Chowk, Mominpura, Nagpur",False,0
Biryani Story,"Biryani,Indian,North Indian,Mughlai,Punjabi",2.8,200,Loha Pul,"Loha Pul, Biryani Story","Shree Ganesh Bhojnalay, Manas Chowk, Sahu Colony, Sitabuldi, Nagpur, Maharashtra",False,0
Mullaji Zillah Biryani Center,Biryani,4.1,250,Sadar,Sadar,"SHOP NO 52 MINI MANGALWARI BAJAR COMPLEX SADAR , District - Nagpur-1, STATE - Maharashtra - 440001",False,0
Burger Singh (Big Punjabi Burgers),"Fast Food,Snacks,Beverages,Indian,American,Desserts,Combo",4.0,300,Laxminagar,Shradhanand Peth,"Plot no 122, Ambazari Road, Shradhanand peth, Opposite to Tanishq Jewellery Showroom, Nagpur-440010",False,0
The Smoked Biryani,"Indian,Thalis,Chinese,Biryani,North Indian,Punjabi,Desserts,Combo",3.0,200,Loha Pul,"Loha Pul, Smoked","Shree Ganesh Bhojnalay, Manas Chowk, Sahu Colony, Sitabuldi, Nagpur, Maharashtra",False,0
Moti Mahal Delux,"North Indian,Mughlai,Biryani,Tandoor,Kebabs",4.1,350,Sitabuldi,Cotton Market,"COTTON MARKET CHOWK, NAGPUR, - 440012",False,0
Al Zam Zam,"Biryani,Indian,North Indian,Chinese,Mughlai,Tandoor",3.8,300,Vivekanand Nagar,Vivekanand Nagar,"Shop No. G3, Laxmidas Appt., Besides Sai Mandir, Wardha Rd, Nagpur, Maharashtra 440015",False,0
Shree Ganesh Bhojnalaya,"Indian,Chinese",2.5,200,Loha Pul,"Loha Pul, Ganesh","Shree Ganesh Bhojnalay, Manas Chowk, Sahu Colony, Sitabuldi, Nagpur, Maharashtra",False,0
Taste of Biryani,North Indian,2.7,200,Loha Pul,"Loha Pul, Biryani","Shree Ganesh Bhojnalay, Manas Chowk, Sahu Colony, Sitabuldi, Nagpur, Maharashtra",False,0
Krishnum Restaurant,"South Indian,Indian,Chinese,Fast Food,Beverages",3.9,200,Mominpura,CA road,"CA ROAD, CENTRAL AVENUE , GANDHIBAGH",False,0
Barbeque Nation,"North Indian,Barbecue,Biryani,Kebabs,Mughlai,Desserts",3.9,600,Sitabuldi,"Amravati Rd, Eternity Mall","2nd Floor Eternity Mall, Amravati Rd, Variety Square, Sitabuldi, Nagpur, Maharashtra 440012",False,0
Calcutta Roll Center,"Chinese,Fast Food,North Indian,Indian,Snacks,Tandoor,Bengali,Street Food",3.8,250,Chhaoni,Sadar,"Achraj Tower, Katol Road, Sadar, Nagpur",False,0
NAMRATA'S KITCHEN,North Indian,NA,300,Sitabuldi,Nandanvan,"Baba Farid nagar, koradi road, near buddha vihar.",False,0
UBQ by Barbeque Nation,"North Indian,Barbecue,Biryani,Kebabs,Mughlai,Desserts",3.9,300,Sitabuldi,NAGPUR,"Unit - K1 to FC- 6, 2nd floor, eternity mall, verity chowk, nagpur-440024",False,0
Sangam Restaurant,"North Indian,South Indian,Pizzas,Biryani,Street Food,Chinese,Desserts,Sweets",4.2,400,Medical Square,medical square,"Medical Square, Near IO Petrol Pump.",False,0
Taste Of Indore,"Street Food,North Indian,Snacks",4.0,70,Sitabuldi,Sitabuldi,"Mahajan Market Road, Sitabuldi, Nagpur",True,0
Corridor Seven Coffee Roasters,"Continental,Salads,Healthy Food,Desserts,Beverages",4.5,500,Sitabuldi,Sitabuldi,"86, Mahajan Market, Behind Ketkar Hospital, Sitabuldi, Nagpur 440012, District - Nagpur-1, STATE - Maharashtra -  440012",False,0
Babbu's Food Plaza,"North Indian,Biryani,Tandoor,Indian,Mughlai",3.7,250,Civil Lines,Sadar,"VCA stadium, civil lines",False,0
Pizza Hut,"Pizzas,Fast Food",3.2,300,Sitabuldi,"1st Flr, Eternity Mall, Variety Square","SN F1 & F2, 1st Flr, Eternity Mall, Variety Square, Sitabuldi, Nagpur, Maharashtra 440012",False,0
Gulshan Plaza,"North Indian,Mughlai,Maharashtrian,Biryani,Desserts,Beverages",3.5,400,"Sitabuldi, Nagpur",Sitabuldi,in front of zero miles metro station near sitabuldi,False,0
Rolls Mania,Fast Food,4.0,200,Pratap Nagar,"Shewalkar Garden, Gopal Nagar","Shop 32, Upper Ground Floor, Shewalkar Gardens, Opposite Reliance Fresh, Gopal Nagar, Pratap Nagar, Nagpur",False,0
